Fecha,Valores
15/12/2022,0.098
22/12/2022,0.102
29/12/2022,0.101
5/1/2023,0.105
12/1/2023,0.105
19/1/2023,0.107
26/1/2023,0.108
2/2/2023,0.108
9/2/2023,0.108
16/2/2023,0.111
23/2/2023,0.110
2/3/2023,0.111
9/3/2023,0.112
16/3/2023,0.113
23/3/2023,0.113
30/3/2023,0.113
5/4/2023,0.113
13/4/2023,0.113
20/4/2023,0.113
27/4/2023,0.113
4/5/2023,0.114
11/5/2023,0.114
18/5/2023,0.113
25/5/2023,0.113
1/6/2023,0.112
8/6/2023,0.113
15/6/2023,0.112
22/6/2023,0.111
29/6/2023,0.110
6/7/2023,0.113
13/7/2023,0.113
20/7/2023,0.112
27/7/2023,0.111
3/8/2023,0.113
10/8/2023,0.113
17/8/2023,0.113
24/8/2023,0.110
31/8/2023,0.111
7/9/2023,0.110
14/9/2023,0.113
21/9/2023,0.110
28/9/2023,0.111
5/10/2023,0.111
12/10/2023,0.111
19/10/2023,0.110
26/10/2023,0.113
1/11/2023,0.111
9/11/2023,0.110
16/11/2023,0.109
23/11/2023,0.108
30/11/2023,0.108
7/12/2023,0.113
14/12/2023,0.113
21/12/2023,0.111
28/12/2023,0.113
4/1/2024,0.113
11/1/2024,0.113
18/1/2024,0.113
25/1/2024,0.113
1/2/2024,0.112
8/2/2024,0.111
15/2/2024,0.111
22/2/2024,0.110
29/2/2024,0.110
7/3/2024,0.110
14/3/2024,0.112
21/3/2024,0.110
27/3/2024,0.109
4/4/2024,0.109
11/4/2024,0.109
18/4/2024,0.110
25/4/2024,0.110
2/5/2024,0.110
9/5/2024,0.110
16/5/2024,0.110
23/5/2024,0.110
30/5/2024,0.110
6/6/2024,0.110
13/6/2024,0.110
20/6/2024,0.110
27/6/2024,0.109
4/7/2024,0.110
11/7/2024,0.109
18/7/2024,0.109
25/7/2024,0.109
1/8/2024,0.110
8/8/2024,0.109
15/8/2024,0.107
22/8/2024,0.107
29/8/2024,0.107
5/9/2024,0.105
12/9/2024,0.105
19/9/2024,0.104
26/9/2024,0.104
3/10/2024,0.103
10/10/2024,0.103
17/10/2024,0.102
24/10/2024,0.102
31/10/2024,0.102
7/11/2024,0.101
14/11/2024,0.101
21/11/2024,0.101
28/11/2024,0.100
